,all 9 possible determinants are coded in binary
IIII,(-1.8667801959328667+0j)
IIIX,(0.001626153283418529+0j)
IIIZ,(-0.1667569674693839+0j)
IIXI,(-0.001301794141691029+0j)
IIXX,(0.002902294724174686+0j)
IIXZ,(-0.003526027635333294+0j)
IIYY,(5.400592884761599e-05+0j)
IIZI,(-0.19312217649720775+0j)
IIZX,(0.0012221355119085313+0j)
IIZZ,(-0.19312217649720814+0j)
IXII,(0.008709824390110126+0j)
IXIX,(0.0025134594039006412+0j)
IXIZ,(0.008189799063991265+0j)
IXXI,(0.0074635343228201725+0j)
IXXX,(0.0012373179631444884+0j)
IXXZ,(-0.012291356099844488+0j)
IXYY,(-0.0008333001916344832+0j)
IXZI,(-0.007858763582294127+0j)
IXZX,(-0.0004428412491216617+0j)
IXZZ,(-0.007858763582294127+0j)
IYIY,(0.002922027047184911+0j)
IYXY,(0.0008333001916344832+0j)
IYYI,(0.00267392355157159+0j)
IYYX,(0.0005421349579931923+0j)
IYYZ,(0.0026739235515715865+0j)
IYZY,(-0.0015465918975572266+0j)
IZII,(-0.2503880848218337+0j)
IZIX,(-0.0016448038162786166+0j)
IZIZ,(-0.15621316065108898+0j)
IZXI,(-0.003194992153636156+0j)
IZXX,(0.00044392303927181425+0j)
IZXZ,(-0.002152854949507028+0j)
IZYY,(0.004024695905470322+0j)
IZZI,(-0.2033006227364616+0j)
IZZX,(-0.0019359690499199142+0j)
IZZZ,(-0.20330062273646132+0j)
XIII,(0.008154287654672411+0j)
XIIX,(-0.0003780795729299586+0j)
XIIZ,(0.008154287654672411+0j)
XIXI,(0.0076867758485232515+0j)
XIXX,(-0.00037807957292995844+0j)
XIXZ,(0.0076867758485232515+0j)
XIYY,(0.00037807957292995844+0j)
XIZI,(0.008154287654672411+0j)
XIZX,(-0.0003780795729299586+0j)
XIZZ,(0.008154287654672411+0j)
XXII,(0.0008165926744428482+0j)
XXIX,(0.0013216406492707628+0j)
XXIZ,(0.0008165926744428482+0j)
XXXI,(0.00768677584852325+0j)
XXXX,(0.001321640649270762+0j)
XXXZ,(0.00768677584852325+0j)
XXYY,(-0.001321640649270762+0j)
XXZI,(0.0008165926744428482+0j)
XXZX,(0.0013216406492707628+0j)
XXZZ,(0.0008165926744428482+0j)
XYIY,(-0.0013216406492707628+0j)
XYXY,(-0.001321640649270762+0j)
XYYI,(-0.00768677584852325+0j)
XYYX,(-0.001321640649270762+0j)
XYYZ,(-0.00768677584852325+0j)
XYZY,(-0.0013216406492707628+0j)
XZII,(0.008154287654672411+0j)
XZIX,(-0.0003780795729299586+0j)
XZIZ,(0.008154287654672411+0j)
XZXI,(0.0076867758485232515+0j)
XZXX,(-0.00037807957292995844+0j)
XZXZ,(0.0076867758485232515+0j)
XZYY,(0.00037807957292995844+0j)
XZZI,(0.008154287654672411+0j)
XZZX,(-0.0003780795729299586+0j)
XZZZ,(0.008154287654672411+0j)
YIIY,(-0.0003780795729299586+0j)
YIXY,(-0.00037807957292995844+0j)
YIYI,(0.0076867758485232515+0j)
YIYX,(-0.00037807957292995844+0j)
YIYZ,(0.0076867758485232515+0j)
YIZY,(-0.0003780795729299586+0j)
YXIY,(0.0013216406492707628+0j)
YXXY,(0.001321640649270762+0j)
YXYI,(0.00768677584852325+0j)
YXYX,(0.001321640649270762+0j)
YXYZ,(0.00768677584852325+0j)
YXZY,(0.0013216406492707628+0j)
YYII,(0.0008165926744428482+0j)
YYIX,(0.0013216406492707628+0j)
YYIZ,(0.0008165926744428482+0j)
YYXI,(0.00768677584852325+0j)
YYXX,(0.001321640649270762+0j)
YYXZ,(0.00768677584852325+0j)
YYYY,(-0.001321640649270762+0j)
YYZI,(0.0008165926744428482+0j)
YYZX,(0.0013216406492707628+0j)
YYZZ,(0.0008165926744428482+0j)
YZIY,(-0.0003780795729299586+0j)
YZXY,(-0.00037807957292995844+0j)
YZYI,(0.0076867758485232515+0j)
YZYX,(-0.00037807957292995844+0j)
YZYZ,(0.0076867758485232515+0j)
YZZY,(-0.0003780795729299586+0j)
ZIII,(-1.506247055766817+0j)
ZIIX,(0.001626153283418529+0j)
ZIIZ,(0.19377617269666572+0j)
ZIXI,(-0.001301794141691029+0j)
ZIXX,(0.002902294724174686+0j)
ZIXZ,(-0.003526027635333294+0j)
ZIYY,(5.400592884761599e-05+0j)
ZIZI,(0.16741096366884178+0j)
ZIZX,(0.0012221355119085313+0j)
ZIZZ,(0.16741096366884148+0j)
ZXII,(0.008709824390110126+0j)
ZXIX,(0.0025134594039006412+0j)
ZXIZ,(0.008189799063991265+0j)
ZXXI,(0.0074635343228201725+0j)
ZXXX,(0.0012373179631444884+0j)
ZXXZ,(-0.012291356099844488+0j)
ZXYY,(-0.0008333001916344832+0j)
ZXZI,(-0.007858763582294127+0j)
ZXZX,(-0.0004428412491216617+0j)
ZXZZ,(-0.007858763582294127+0j)
ZYIY,(0.002922027047184911+0j)
ZYXY,(0.0008333001916344832+0j)
ZYYI,(0.00267392355157159+0j)
ZYYX,(0.0005421349579931923+0j)
ZYYZ,(0.0026739235515715865+0j)
ZYZY,(-0.0015465918975572266+0j)
ZZII,(0.11014505534421587+0j)
ZZIX,(-0.0016448038162786166+0j)
ZZIZ,(0.20431997951496061+0j)
ZZXI,(-0.003194992153636156+0j)
ZZXX,(0.00044392303927181425+0j)
ZZXZ,(-0.002152854949507028+0j)
ZZYY,(0.004024695905470322+0j)
ZZZI,(0.157232517429588+0j)
ZZZX,(-0.0019359690499199142+0j)
ZZZZ,(0.15723251742958827+0j)
